indicator_id,country_id,year,type,metadata
20064,BGD,2007,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20064,BGD,2008,Data Status:Data reporting,NA
20064,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20064,BGD,2009,Data Status:Data reporting,NA
20064,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20064,BGD,2010,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20064,BGD,2011,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20064,BGD,2012,Data Status:Data reporting,NA
20064,BGD,2012,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20064,BGD,2013,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20064,BGD,2015,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20064,BGD,2016,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20064,BGD,2017,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20064,BGD,2018,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20064,BGD,2019,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20064,BGD,2020,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20064,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20064,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20064,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20064,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20065,BGD,1998,Data Status:Data reporting,NA
20065,BGD,1998,Source:Data sources,NA
20065,BGD,1999,Data Status:Data reporting,NA
20065,BGD,1999,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2000,Data Status:Data reporting,NA
20065,BGD,2000,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2001,Data Status:Data reporting,NA
20065,BGD,2001,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2002,Data Status:Data reporting,NA
20065,BGD,2002,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2003,Data Status:Data reporting,NA
20065,BGD,2003,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2004,Data Status:Data reporting,NA
20065,BGD,2004,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2005,Data Status:Data reporting,NA
20065,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2006,Data Status:Data reporting,NA
20065,BGD,2006,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2007,Data Status:Data reporting,NA
20065,BGD,2007,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2008,Data Status:Data reporting,NA
20065,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2009,Data Status:Data reporting,NA
20065,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2010,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20065,BGD,2011,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20065,BGD,2012,Data Status:Data reporting,NA
20065,BGD,2012,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20065,BGD,2013,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20065,BGD,2015,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20065,BGD,2016,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20065,BGD,2017,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20065,BGD,2018,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20065,BGD,2019,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20065,BGD,2020,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20065,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20065,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20065,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20065,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20070,BGD,1998,Data Status:Data reporting,NA
20070,BGD,1998,Source:Data sources,NA
20070,BGD,1999,Data Status:Data reporting,NA
20070,BGD,1999,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2000,Data Status:Data reporting,NA
20070,BGD,2000,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2001,Data Status:Data reporting,NA
20070,BGD,2001,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2002,Data Status:Data reporting,NA
20070,BGD,2002,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2003,Data Status:Data reporting,NA
20070,BGD,2003,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2004,Data Status:Data reporting,NA
20070,BGD,2004,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2005,Data Status:Data reporting,NA
20070,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2006,Data Status:Data reporting,NA
20070,BGD,2006,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2007,Data Status:Data reporting,NA
20070,BGD,2007,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2008,Data Status:Data reporting,NA
20070,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2009,Data Status:Data reporting,NA
20070,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2010,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20070,BGD,2011,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20070,BGD,2012,Data Status:Data reporting,NA
20070,BGD,2012,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20070,BGD,2013,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20070,BGD,2015,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20070,BGD,2016,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20070,BGD,2017,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20070,BGD,2018,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20070,BGD,2019,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20070,BGD,2020,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20070,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20070,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20070,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20070,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20071,BGD,1998,Data Status:Data reporting,NA
20071,BGD,1998,Source:Data sources,NA
20071,BGD,1999,Data Status:Data reporting,NA
20071,BGD,1999,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2000,Data Status:Data reporting,NA
20071,BGD,2000,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2001,Data Status:Data reporting,NA
20071,BGD,2001,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2002,Data Status:Data reporting,NA
20071,BGD,2002,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2003,Data Status:Data reporting,NA
20071,BGD,2003,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2004,Data Status:Data reporting,NA
20071,BGD,2004,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2005,Data Status:Data reporting,NA
20071,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2006,Data Status:Data reporting,NA
20071,BGD,2006,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2007,Data Status:Data reporting,NA
20071,BGD,2007,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2008,Data Status:Data reporting,NA
20071,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2009,Data Status:Data reporting,NA
20071,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2010,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20071,BGD,2011,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20071,BGD,2012,Data Status:Data reporting,NA
20071,BGD,2012,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20071,BGD,2013,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20071,BGD,2015,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20071,BGD,2016,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20071,BGD,2017,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20071,BGD,2018,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20071,BGD,2019,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20071,BGD,2020,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20071,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20071,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20071,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20071,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20076,BGD,1998,Data Status:Data reporting,NA
20076,BGD,1998,Source:Data sources,NA
20076,BGD,1999,Data Status:Data reporting,NA
20076,BGD,1999,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2000,Data Status:Data reporting,NA
20076,BGD,2000,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2001,Data Status:Data reporting,NA
20076,BGD,2001,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2002,Data Status:Data reporting,NA
20076,BGD,2002,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2003,Data Status:Data reporting,NA
20076,BGD,2003,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2004,Data Status:Data reporting,NA
20076,BGD,2004,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2005,Data Status:Data reporting,NA
20076,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2006,Data Status:Data reporting,NA
20076,BGD,2006,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2007,Data Status:Data reporting,NA
20076,BGD,2007,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2008,Data Status:Data reporting,NA
20076,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2009,Data Status:Data reporting,NA
20076,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2010,Data Status:Data reporting,NA
20076,BGD,2010,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2011,Data Status:Data reporting,NA
20076,BGD,2011,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2012,Data Status:Data reporting,NA
20076,BGD,2012,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2013,Data Status:Data reporting,NA
20076,BGD,2013,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2015,Data Status:Data reporting,NA
20076,BGD,2015,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2016,Data Status:Data reporting,NA
20076,BGD,2016,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2017,Data Status:Data reporting,NA
20076,BGD,2017,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20076,BGD,2018,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20076,BGD,2019,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20076,BGD,2020,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20076,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20076,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20076,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20076,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20077,BGD,1998,Data Status:Data reporting,NA
20077,BGD,1998,Source:Data sources,NA
20077,BGD,1999,Data Status:Data reporting,NA
20077,BGD,1999,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2000,Data Status:Data reporting,NA
20077,BGD,2000,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2001,Data Status:Data reporting,NA
20077,BGD,2001,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2002,Data Status:Data reporting,NA
20077,BGD,2002,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2003,Data Status:Data reporting,NA
20077,BGD,2003,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2004,Data Status:Data reporting,NA
20077,BGD,2004,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2005,Data Status:Data reporting,NA
20077,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2006,Data Status:Data reporting,NA
20077,BGD,2006,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2007,Data Status:Data reporting,NA
20077,BGD,2007,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2008,Data Status:Data reporting,NA
20077,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2009,Data Status:Data reporting,NA
20077,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2010,Data Status:Data reporting,NA
20077,BGD,2010,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2011,Data Status:Data reporting,NA
20077,BGD,2011,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2012,Data Status:Data reporting,NA
20077,BGD,2012,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2013,Data Status:Data reporting,NA
20077,BGD,2013,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2015,Data Status:Data reporting,NA
20077,BGD,2015,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2016,Data Status:Data reporting,NA
20077,BGD,2016,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2017,Data Status:Data reporting,NA
20077,BGD,2017,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20077,BGD,2018,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20077,BGD,2019,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
